T	M_avg	M_err	E_avg	E_err	Cv	Cv_err	Chi	Chi_err
0.500	1.000000	0.000000	-8191.998535	0.002263	0.000012	0.000018	0.000000	0.000000
0.607	0.999997	0.000001	-8191.945801	0.013150	0.000286	0.000069	0.000000	0.000000
0.715	0.999972	0.000004	-8191.536133	0.038397	0.001762	0.000151	0.000000	0.000000
0.822	0.999874	0.000009	-8189.958008	0.080954	0.005920	0.000286	0.000000	0.000000
0.929	0.999613	0.000016	-8185.764648	0.143543	0.014561	0.000532	0.000000	0.000000
1.037	0.999012	0.000025	-8176.187988	0.229808	0.029994	0.000966	0.000000	0.000000
1.144	0.997919	0.000038	-8159.046875	0.333851	0.051980	0.001536	0.000000	0.000000
1.251	0.996015	0.000054	-8129.927246	0.462574	0.083406	0.002537	0.000000	0.000000
1.359	0.992929	0.000074	-8083.948242	0.617417	0.126041	0.003703	0.000000	0.000000
1.466	0.988372	0.000098	-8018.106934	0.776489	0.171231	0.004856	0.000000	0.000000
1.573	0.981708	0.000132	-7925.776367	0.996016	0.244608	0.006933	0.000000	0.000000
1.681	0.972077	0.000176	-7800.519043	1.219633	0.321422	0.009099	0.000000	0.000000
1.788	0.958691	0.000235	-7637.850586	1.470811	0.413008	0.011610	0.000000	0.000000
1.895	0.939988	0.000311	-7426.600586	1.769076	0.531743	0.015194	0.000000	0.000000
2.003	0.910553	0.000485	-7141.356934	2.216850	0.747886	0.021255	0.000000	0.000000
2.110	0.864342	0.000801	-6773.154785	2.688542	0.990943	0.028868	0.000000	0.000000
2.114	0.860452	0.000784	-6747.923828	2.666449	0.970777	0.027444	0.000000	0.000000
2.119	0.859151	0.000799	-6735.413086	2.720193	1.006221	0.028652	0.000000	0.000000
2.123	0.853764	0.000841	-6705.215332	2.766816	1.036810	0.029007	0.000000	0.000000
2.127	0.852968	0.000925	-6700.649414	2.757923	1.026009	0.029981	0.000000	0.000000
2.131	0.850221	0.000876	-6679.394531	2.818572	1.067325	0.030582	0.000000	0.000000
2.136	0.846045	0.000949	-6659.196777	2.780517	1.034534	0.029365	0.000000	0.000000
2.140	0.845035	0.000944	-6644.774902	2.859006	1.089388	0.030083	0.000000	0.000000
2.144	0.839858	0.001001	-6614.600098	2.915186	1.128099	0.032720	0.000000	0.000000
2.149	0.836873	0.001077	-6604.150879	2.907339	1.117563	0.032438	0.000000	0.000000
2.153	0.828473	0.001257	-6569.136230	3.090258	1.257590	0.036909	0.000000	0.000000
2.157	0.824304	0.001206	-6542.729492	3.094679	1.256184	0.034918	0.000000	0.000000
2.161	0.832216	0.000956	-6551.311035	2.958087	1.143195	0.031986	0.000000	0.000000
2.166	0.825213	0.001085	-6521.819824	2.953224	1.134933	0.031789	0.000000	0.000000
2.170	0.820022	0.001143	-6504.229004	3.024041	1.185321	0.033216	0.000000	0.000000
2.174	0.817682	0.001095	-6477.506836	3.048096	1.199511	0.034274	0.000000	0.000000
2.179	0.817125	0.001106	-6470.731445	3.044474	1.191958	0.035470	0.000000	0.000000
2.183	0.806453	0.001249	-6430.347656	3.111212	1.239906	0.034851	0.000000	0.000000
2.187	0.800172	0.001489	-6409.682617	3.123605	1.244910	0.035300	0.000000	0.000000
2.191	0.799112	0.001419	-6391.528320	3.192758	1.295559	0.036655	0.000000	0.000000
2.196	0.789961	0.001761	-6355.831055	3.405783	1.468460	0.042923	0.000000	0.000000
