T	M_avg	M_err	E_avg	E_err	Cv	Cv_err	Chi	Chi_err
0.500	1.000000	0.000000	-524287.750000	0.027939	0.000030	0.000004	-0.000000	0.000000
0.607	0.999996	0.000000	-524283.937500	0.114251	0.000337	0.000013	-0.000000	0.000000
0.715	0.999972	0.000000	-524259.218750	0.299896	0.001679	0.000049	-0.000000	0.000000
0.822	0.999878	0.000001	-524160.906250	0.643138	0.005838	0.000167	-0.000000	0.000000
0.929	0.999614	0.000002	-523888.906250	1.144675	0.014468	0.000408	0.000000	0.000000
1.037	0.999030	0.000003	-523294.593750	1.812956	0.029167	0.000832	0.000000	0.000000
1.144	0.997904	0.000005	-522166.156250	2.673099	0.052069	0.001476	0.000000	0.000000
1.251	0.995984	0.000007	-520282.406250	3.692421	0.083038	0.002359	0.000000	0.000000
1.359	0.992947	0.000009	-517380.937500	4.888342	0.123452	0.003449	0.000000	0.000000
1.466	0.988346	0.000012	-513135.093750	6.316900	0.177068	0.004971	0.000000	0.000000
1.573	0.981681	0.000016	-507241.906250	7.910176	0.241063	0.006869	0.000000	0.000000
1.681	0.972193	0.000022	-499294.156250	9.839164	0.326854	0.009219	0.000000	0.000000
1.788	0.958713	0.000030	-488775.218750	12.078759	0.435221	0.012482	0.000000	0.000000
1.895	0.939354	0.000041	-475037.468750	14.319470	0.544356	0.015501	0.000000	0.000000
2.003	0.910427	0.000059	-457093.156250	17.325052	0.713727	0.020213	0.000000	0.000000
2.110	0.863133	0.000102	-433145.843750	21.584890	0.998010	0.028293	0.000000	0.000000
2.114	0.860312	0.000112	-431988.312500	22.637062	1.093233	0.030911	0.000000	0.000000
2.119	0.857729	0.000108	-430919.687500	21.824831	1.012082	0.028407	0.000000	0.000000
2.123	0.855175	0.000107	-429724.562500	21.878267	1.012942	0.027940	0.000000	0.000000
2.127	0.852334	0.000114	-428570.968750	21.965399	1.016916	0.028269	0.000000	0.000000
2.131	0.849803	0.000111	-427420.343750	21.833023	1.000659	0.027725	0.000000	0.000000
2.136	0.846208	0.000123	-426116.343750	22.825169	1.089286	0.030978	0.000000	0.000000
2.140	0.843615	0.000127	-424962.031250	23.722378	1.171896	0.033147	0.000000	0.000000
2.144	0.840297	0.000121	-423666.718750	22.683836	1.067254	0.031080	0.000000	0.000000
2.149	0.836516	0.000131	-422370.625000	23.545540	1.145296	0.032201	0.000000	0.000000
2.153	0.833654	0.000127	-421135.843750	22.933674	1.082223	0.029623	0.000000	0.000000
2.157	0.830165	0.000143	-419871.375000	24.040028	1.184438	0.032850	0.000000	0.000000
2.161	0.826599	0.000139	-418515.468750	24.050068	1.180731	0.034396	0.000000	0.000000
2.166	0.822357	0.000162	-417161.562500	24.755154	1.246032	0.034447	0.000000	0.000000
2.170	0.817880	0.000152	-415745.812500	23.946844	1.161388	0.032831	0.000000	0.000000
2.174	0.813960	0.000164	-414294.500000	24.754826	1.236194	0.034994	0.000000	0.000000
2.179	0.809435	0.000159	-412925.531250	24.490862	1.205215	0.033085	0.000000	0.000000
2.183	0.806241	0.000187	-411631.625000	26.400589	1.395008	0.039005	0.000000	0.000000
2.187	0.800330	0.000206	-409924.843750	26.294964	1.378450	0.039942	0.000000	0.000000
2.191	0.795040	0.000182	-408470.531250	25.402416	1.281432	0.035660	0.000000	0.000000
2.196	0.789790	0.000192	-406846.000000	25.220346	1.258203	0.035473	0.000000	0.000000
2.200	0.785841	0.000205	-405469.406250	26.406387	1.373956	0.040456	0.000000	0.000000
2.204	0.776102	0.000254	-403632.468750	27.931061	1.531226	0.042731	0.000000	0.000000
2.209	0.772514	0.000210	-402124.343750	26.145197	1.336475	0.037833	0.000000	0.000000
2.213	0.759858	0.000371	-400194.406250	28.625751	1.595905	0.044489	0.000000	0.000000
2.217	0.759625	0.000275	-398763.593750	29.160612	1.649704	0.046503	0.000000	0.000000
2.221	0.753230	0.000241	-397108.500000	26.439779	1.350987	0.040490	0.000000	0.000000
