T	M_avg	M_err	E_avg	E_err	Cv	Cv_err
1.000	0.999278	0.000621	-116.000000	0.000000	0.023430	0.000526
1.151	0.997829	0.001067	-116.000000	0.000000	0.049991	0.001032
1.303	0.994727	0.001826	-115.000000	0.000000	0.103433	0.002108
1.454	0.988877	0.002852	-114.000000	0.000000	0.179241	0.003629
1.606	0.979060	0.004153	-112.000000	0.000000	0.262757	0.005368
1.757	0.962742	0.006728	-109.000000	1.000000	0.417875	0.008338
1.909	0.936910	0.009611	-105.000000	1.000000	0.556306	0.011148
2.060	0.885831	0.020076	-99.000000	1.000000	0.898663	0.017949
2.071	0.883516	0.017440	-98.000000	1.000000	0.842762	0.016931
2.083	0.878951	0.019146	-98.000000	1.000000	0.967039	0.018732
2.094	0.869236	0.022516	-97.000000	1.000000	0.944128	0.018846
2.106	0.868243	0.019657	-97.000000	1.000000	0.917187	0.018080
2.117	0.863905	0.022094	-96.000000	1.000000	0.965990	0.019162
2.129	0.855772	0.023203	-95.000000	1.000000	1.029844	0.020636
2.140	0.841309	0.032589	-94.000000	2.000000	1.284925	0.025843
2.151	0.834741	0.027851	-94.000000	2.000000	1.105546	0.021933
2.163	0.830298	0.028256	-93.000000	2.000000	1.098725	0.022800
2.174	0.809946	0.039562	-92.000000	2.000000	1.204219	0.023771
2.186	0.809525	0.036735	-91.000000	2.000000	1.413442	0.027189
2.197	0.777191	0.060198	-90.000000	2.000000	1.610863	0.031491
2.209	0.767542	0.073530	-89.000000	2.000000	1.648517	0.032381
2.220	0.740958	0.057696	-88.000000	2.000000	1.506161	0.029279
2.231	0.735836	0.063144	-87.000000	2.000000	1.375643	0.026975
2.243	0.699484	0.063080	-86.000000	2.000000	1.515681	0.028733
2.254	0.669026	0.078646	-84.000000	2.000000	1.890397	0.036127
2.266	0.642362	0.110693	-84.000000	2.000000	2.002201	0.035824
2.277	0.410256	0.247722	-81.000000	3.000000	2.256863	0.042515
2.289	0.459165	0.196328	-80.000000	2.000000	1.895602	0.040296
2.300	0.429693	0.195538	-79.000000	2.000000	1.960303	0.038760
2.311	0.567036	0.102723	-80.000000	2.000000	1.823236	0.033686
2.323	0.352622	0.172215	-76.000000	2.000000	1.714132	0.035592
2.334	0.314818	0.182263	-76.000000	2.000000	1.533285	0.031845
2.346	0.222353	0.142983	-74.000000	2.000000	1.579558	0.034195
2.357	0.262487	0.147676	-74.000000	2.000000	1.454481	0.030031
2.369	0.154161	0.106305	-72.000000	2.000000	1.052573	0.021113
2.380	0.163603	0.118070	-71.000000	2.000000	1.284593	0.027180
2.391	0.148329	0.101401	-71.000000	2.000000	1.123586	0.022409
2.403	0.145864	0.107375	-70.000000	2.000000	1.169454	0.022970
2.414	0.133840	0.094963	-69.000000	2.000000	1.054008	0.020740
2.426	0.134037	0.084652	-69.000000	2.000000	1.026497	0.021905
2.437	0.164647	0.103043	-68.000000	2.000000	1.030295	0.021104
2.449	0.114801	0.080798	-67.000000	2.000000	0.965290	0.019303
2.460	0.102385	0.074466	-67.000000	2.000000	0.975816	0.020169
2.680	0.061613	0.051402	-57.000000	1.000000	0.598320	0.011979
2.900	0.046576	0.035713	-50.000000	1.000000	0.462835	0.009242
3.120	0.037189	0.029016	-45.000000	1.000000	0.357139	0.006974
3.340	0.032954	0.024672	-41.000000	1.000000	0.277817	0.005593
3.560	0.029349	0.021686	-38.000000	1.000000	0.243972	0.004987
3.780	0.027216	0.020072	-35.000000	1.000000	0.201836	0.003973
4.000	0.026127	0.020266	-33.000000	1.000000	0.171648	0.003420
