T	M_avg	M_err	E_avg	E_err	Cv	Cv_err
1.000	0.999274	0.000154	-1852.000000	0.000000	0.023273	0.000469
1.151	0.997801	0.000280	-1846.000000	0.000000	0.054706	0.001117
1.303	0.994703	0.000446	-1836.000000	1.000000	0.099651	0.001952
1.454	0.988933	0.000708	-1817.000000	2.000000	0.176789	0.003534
1.606	0.979120	0.001044	-1786.000000	2.000000	0.262258	0.005391
1.757	0.963169	0.001535	-1741.000000	3.000000	0.379748	0.007496
1.909	0.936438	0.002551	-1673.000000	5.000000	0.594059	0.012001
2.060	0.888339	0.004650	-1574.000000	7.000000	0.901073	0.018759
2.071	0.884178	0.004647	-1566.000000	7.000000	0.880913	0.017403
2.083	0.876954	0.005216	-1555.000000	7.000000	0.912364	0.018335
2.094	0.871139	0.005495	-1546.000000	7.000000	0.926615	0.018977
2.106	0.865014	0.005667	-1535.000000	7.000000	1.020834	0.020334
2.117	0.859111	0.006085	-1525.000000	7.000000	1.026810	0.021326
2.129	0.852185	0.006548	-1515.000000	8.000000	1.112390	0.022990
2.140	0.843710	0.006844	-1503.000000	8.000000	1.080986	0.021003
2.151	0.836199	0.008314	-1492.000000	8.000000	1.234255	0.024924
2.163	0.826734	0.008200	-1479.000000	8.000000	1.241759	0.023274
2.174	0.815537	0.009226	-1466.000000	8.000000	1.211742	0.024450
2.186	0.797454	0.009801	-1451.000000	8.000000	1.257433	0.025802
2.197	0.786014	0.011562	-1437.000000	8.000000	1.247767	0.025162
2.209	0.771284	0.013590	-1422.000000	9.000000	1.444175	0.027073
2.220	0.757314	0.014576	-1407.000000	10.000000	1.644339	0.030688
2.231	0.738152	0.014143	-1390.000000	10.000000	1.587962	0.032055
2.243	0.642480	0.041413	-1361.000000	12.000000	2.250015	0.044558
2.254	0.671522	0.026874	-1351.000000	12.000000	2.351520	0.044639
2.266	0.613984	0.038105	-1326.000000	12.000000	2.149426	0.042673
2.277	0.130690	0.038300	-1280.000000	11.000000	1.785552	0.037192
2.289	0.273406	0.121928	-1263.000000	11.000000	2.075761	0.039857
2.300	0.168147	0.041097	-1247.000000	10.000000	1.613510	0.034285
2.311	0.095323	0.050284	-1223.000000	10.000000	1.556674	0.030992
2.323	0.110370	0.044967	-1207.000000	9.000000	1.209190	0.024530
2.334	0.107234	0.033070	-1193.000000	10.000000	1.507064	0.028698
2.346	0.060024	0.044795	-1176.000000	9.000000	1.265194	0.025646
2.357	0.064488	0.048708	-1163.000000	10.000000	1.373781	0.027828
2.369	0.050680	0.031804	-1151.000000	8.000000	1.072352	0.021400
2.380	0.038821	0.028422	-1138.000000	9.000000	1.154586	0.023882
2.391	0.033265	0.027397	-1127.000000	10.000000	1.347817	0.027978
2.403	0.030515	0.022967	-1114.000000	8.000000	1.002764	0.020244
2.414	0.033816	0.021462	-1101.000000	9.000000	1.119031	0.022514
2.426	0.030939	0.022896	-1089.000000	8.000000	0.992136	0.019098
2.437	0.027394	0.020387	-1080.000000	9.000000	1.106998	0.021172
2.449	0.032330	0.022455	-1068.000000	9.000000	1.042025	0.021132
2.460	0.027555	0.022199	-1059.000000	8.000000	0.987951	0.019886
2.680	0.016633	0.012421	-905.000000	7.000000	0.594793	0.011672
2.900	0.011807	0.008832	-798.000000	6.000000	0.434776	0.008760
3.120	0.009854	0.007273	-716.000000	6.000000	0.343568	0.006930
3.340	0.008127	0.006173	-652.000000	6.000000	0.291353	0.005864
3.560	0.007300	0.005556	-599.000000	6.000000	0.242965	0.004816
3.780	0.006816	0.005174	-554.000000	6.000000	0.203176	0.004022
4.000	0.006446	0.004818	-517.000000	5.000000	0.169374	0.003355
