T	M_avg	M_err	E_avg	E_err	Cv	Cv_err
1.000	0.999272	0.000314	-463.000000	0.000000	0.023851	0.000523
1.151	0.997779	0.000570	-462.000000	0.000000	0.055764	0.001168
1.303	0.994696	0.000901	-459.000000	0.000000	0.102238	0.001968
1.454	0.989000	0.001390	-455.000000	1.000000	0.170145	0.003316
1.606	0.979118	0.002054	-447.000000	1.000000	0.266580	0.005316
1.757	0.963009	0.003122	-435.000000	2.000000	0.401481	0.007925
1.909	0.936200	0.004859	-419.000000	2.000000	0.563201	0.011488
2.060	0.889178	0.008801	-394.000000	3.000000	0.891338	0.018713
2.071	0.883061	0.009237	-392.000000	3.000000	0.821134	0.016450
2.083	0.878164	0.009668	-389.000000	3.000000	0.927375	0.018050
2.094	0.868068	0.011110	-386.000000	3.000000	0.945363	0.019334
2.106	0.866781	0.010458	-385.000000	3.000000	0.918131	0.018079
2.117	0.861038	0.011795	-382.000000	3.000000	1.067011	0.021075
2.129	0.851014	0.013930	-379.000000	4.000000	1.123095	0.021786
2.140	0.846730	0.013355	-377.000000	4.000000	1.083831	0.021749
2.151	0.836690	0.016488	-374.000000	4.000000	1.142456	0.023416
2.163	0.826011	0.016639	-370.000000	4.000000	1.186118	0.022970
2.174	0.809151	0.022696	-366.000000	4.000000	1.379706	0.026847
2.186	0.805412	0.021669	-364.000000	4.000000	1.399509	0.027893
2.197	0.795761	0.018597	-361.000000	4.000000	1.228828	0.024601
2.209	0.774584	0.022681	-356.000000	4.000000	1.442389	0.028505
2.220	0.768410	0.025254	-353.000000	4.000000	1.407766	0.027611
2.231	0.733785	0.039069	-348.000000	5.000000	1.791428	0.034393
2.243	0.698517	0.076806	-343.000000	6.000000	2.490161	0.047700
2.254	0.642925	0.048892	-337.000000	5.000000	1.675751	0.033663
2.266	0.658800	0.062011	-334.000000	5.000000	1.931030	0.039090
2.277	0.537768	0.103632	-325.000000	6.000000	2.176352	0.043576
2.289	0.161199	0.111328	-314.000000	5.000000	2.062035	0.040487
2.300	0.106952	0.094831	-310.000000	4.000000	1.245162	0.024315
2.311	0.313731	0.147688	-310.000000	5.000000	1.920197	0.037426
2.323	0.291281	0.151197	-305.000000	6.000000	2.272791	0.042725
2.334	0.090308	0.081520	-298.000000	5.000000	1.612358	0.029794
2.346	0.087298	0.067752	-295.000000	5.000000	1.586921	0.034172
2.357	0.060461	0.048676	-292.000000	5.000000	1.379530	0.026609
2.369	0.106289	0.081933	-288.000000	4.000000	1.353493	0.025993
2.380	0.073996	0.063914	-285.000000	4.000000	1.326656	0.026257
2.391	0.097140	0.080101	-282.000000	4.000000	1.036084	0.020316
2.403	0.062316	0.043369	-278.000000	4.000000	1.060928	0.021140
2.414	0.064574	0.049905	-275.000000	4.000000	1.038440	0.020278
2.426	0.065214	0.052233	-273.000000	4.000000	1.056495	0.020793
2.437	0.065662	0.054424	-270.000000	4.000000	1.066957	0.021601
2.449	0.066926	0.043052	-268.000000	4.000000	0.949483	0.018994
2.460	0.055479	0.042933	-266.000000	4.000000	0.939140	0.018638
2.680	0.036485	0.027807	-226.000000	3.000000	0.615584	0.012302
2.900	0.025009	0.018769	-200.000000	3.000000	0.456416	0.009089
3.120	0.019709	0.015126	-180.000000	3.000000	0.358665	0.007177
3.340	0.016679	0.012592	-163.000000	3.000000	0.284712	0.005804
3.560	0.014044	0.010619	-150.000000	3.000000	0.236772	0.004711
3.780	0.014145	0.010747	-139.000000	3.000000	0.194908	0.003944
4.000	0.013270	0.009976	-130.000000	2.000000	0.167720	0.003323
