T	M_avg	M_err	E_avg	E_err	Cv	Cv_err	Chi	Chi_err
2.299	0.062798	0.003845	-88241.765625	16.056503	1.861427	0.054313	0.000000	0.000000
2.303	0.036024	0.002483	-87448.039062	14.763943	1.567945	0.044405	0.000000	0.000000
2.307	0.074474	0.003919	-87210.234375	14.806068	1.571052	0.045588	0.000000	0.000000
2.311	0.075742	0.002570	-86818.296875	15.026494	1.612183	0.044599	0.000000	0.000000
2.316	0.051844	0.004454	-86245.804688	15.631302	1.738123	0.046848	0.000000	0.000000
2.320	0.000499	0.003569	-85825.085938	14.471329	1.484229	0.040706	0.000000	0.000000
2.324	0.081080	0.001599	-85318.257812	14.384982	1.461167	0.041703	0.000000	0.000000
2.329	0.008978	0.002899	-84836.484375	14.834780	1.548257	0.042632	0.000000	0.000000
2.333	0.036259	0.001958	-84434.562500	13.501806	1.277814	0.036967	0.000000	0.000000
2.337	0.070865	0.002491	-84131.664062	14.083873	1.385268	0.038987	0.000000	0.000000
2.341	0.044507	0.002477	-83545.171875	13.847439	1.334250	0.036433	0.000000	0.000000
2.346	0.000967	0.001687	-83219.093750	13.774173	1.315349	0.037951	0.000000	0.000000
2.350	0.044864	0.002681	-82891.140625	13.932958	1.340945	0.038698	0.000000	0.000000
2.354	0.021005	0.001568	-82528.445312	13.607800	1.274435	0.036993	0.000000	0.000000
2.359	0.001061	0.003008	-82375.914062	14.005859	1.345183	0.037376	0.000000	0.000000
2.363	0.021848	0.002068	-81846.070312	13.845843	1.309857	0.037006	0.000000	0.000000
2.367	0.001187	0.001514	-81621.664062	14.629228	1.456981	0.040855	0.000000	0.000000
2.371	0.002908	0.001819	-81139.257812	13.233095	1.187853	0.032301	0.000000	0.000000
2.376	0.005463	0.001886	-80919.046875	13.365641	1.207400	0.034399	0.000000	0.000000
2.380	0.022886	0.002138	-80452.718750	12.925770	1.125172	0.031215	0.000000	0.000000
2.384	0.001049	0.001511	-80063.773438	13.633878	1.247333	0.035859	0.000000	0.000000
2.389	0.020593	0.001758	-79712.648438	12.985203	1.127408	0.031497	0.000000	0.000000
2.393	0.014346	0.001738	-79389.367188	12.948777	1.117079	0.031737	0.000000	0.000000
2.397	0.011424	0.001718	-79184.421875	12.935407	1.110791	0.032626	0.000000	0.000000
2.401	0.021985	0.001739	-78735.734375	12.830212	1.088901	0.030841	0.000000	0.000000
2.406	0.003938	0.001752	-78446.335938	12.775074	1.075719	0.030025	0.000000	0.000000
2.410	0.001070	0.001656	-78143.960938	12.317070	0.996416	0.028715	0.000000	0.000000
2.524	0.001131	0.000957	-71205.890625	11.694819	0.819249	0.022939	0.000000	0.000000
2.637	0.001987	0.000699	-65733.023438	10.703431	0.628404	0.017726	0.000000	0.000000
2.751	0.001120	0.000601	-61248.496094	10.446840	0.550223	0.015162	0.000000	0.000000
2.864	0.000177	0.000508	-57433.617188	10.090693	0.473445	0.013709	0.000000	0.000000
2.978	0.000715	0.000467	-54141.785156	10.063235	0.435640	0.012450	0.000000	0.000000
3.091	0.000670	0.000422	-51289.781250	9.579378	0.366283	0.010172	0.000000	0.000000
3.205	0.000102	0.000397	-48729.011719	9.268080	0.318995	0.008953	0.000000	0.000000
3.319	0.000021	0.000374	-46449.480469	9.134946	0.289048	0.008121	0.000000	0.000000
3.432	0.000322	0.000347	-44383.367188	8.940804	0.258870	0.007331	0.000000	0.000000
3.546	0.000398	0.000336	-42527.128906	8.766649	0.233195	0.006609	0.000000	0.000000
3.659	0.000331	0.000323	-40828.304688	8.822244	0.221731	0.006210	0.000000	0.000000
3.773	0.000092	0.000296	-39289.179688	8.667952	0.201350	0.005502	0.000000	0.000000
3.886	0.000183	0.000288	-37845.644531	8.563977	0.185229	0.005224	0.000000	0.000000
4.000	0.000368	0.000288	-36529.726562	8.489877	0.171847	0.004712	0.000000	0.000000
